"incident_key","occur_date","occur_time","boro","loc_of_occur_desc","precinct","jurisdiction_code","loc_classfctn_desc","location_desc","statistical_murder_flag","perp_age_group","perp_sex","perp_race","vic_age_group","vic_sex","vic_race","x_coord_cd","y_coord_cd","latitude","longitude","geocoded_column"
"273837715","2023-09-02T00:00:00.000","04:19:00","QUEENS","OUTSIDE","102","0","STREET","(null)","true","18-24","M","ASIAN / PACIFIC ISLANDER","25-44","M","ASIAN / PACIFIC ISLANDER","1034048","190856","40.690394","-73.820431","POINT (-73.820431 40.690394)"
"273857613","2023-09-02T00:00:00.000","20:00:00","MANHATTAN","OUTSIDE","23","0","HOUSING","MULTI DWELL - PUBLIC HOUS","false","(null)","(null)","(null)","25-44","M","BLACK","999614","227020","40.789781","-73.944515","POINT (-73.944515 40.789781)"
"273816263","2023-09-01T00:00:00.000","22:49:00","BRONX","OUTSIDE","43","0","STREET","(null)","false","(null)","(null)","(null)","25-44","M","BLACK HISPANIC","1023801","242376","40.831854","-73.857076","POINT (-73.857076 40.831854)"
"273816263","2023-09-01T00:00:00.000","22:49:00","BRONX","OUTSIDE","43","0","STREET","(null)","false","(null)","(null)","(null)","25-44","M","BLACK","1023801","242376","40.831854","-73.857076","POINT (-73.857076 40.831854)"
"273759138","2023-08-31T00:00:00.000","22:01:00","BROOKLYN","INSIDE","75","0","DWELLING","MULTI DWELL - APT BUILD","true","(null)","(null)","(null)","25-44","M","BLACK","1013645","182937","40.668749","-73.894035","POINT (-73.894035 40.668749)"
"273720215","2023-08-31T00:00:00.000","00:14:00","BRONX","OUTSIDE","43","2","HOUSING","MULTI DWELL - PUBLIC HOUS","false","(null)","(null)","(null)","18-24","M","BLACK","1020880","236792","40.816541","-73.867664","POINT (-73.867664 40.816541)"
"273752486","2023-08-31T00:00:00.000","15:57:00","BRONX","OUTSIDE","44","0","STREET","(null)","false","(null)","(null)","(null)","25-44","M","BLACK","1009136","242565","40.832427","-73.910068","POINT (-73.910068 40.832427)"
"273707248","2023-08-30T00:00:00.000","12:49:00","QUEENS","OUTSIDE","108","0","STREET","(null)","false","25-44","M","WHITE HISPANIC","UNKNOWN","M","UNKNOWN","1013575","208711","40.739494","-73.894176","POINT (-73.894176 40.739494)"
"273699697","2023-08-30T00:00:00.000","21:00:00","BROOKLYN","OUTSIDE","90","2","HOUSING","MULTI DWELL - PUBLIC HOUS","false","18-24","M","BLACK","18-24","M","BLACK","994402","196047","40.704776","-73.963383","POINT (-73.963383 40.704776)"
"273707248","2023-08-30T00:00:00.000","12:49:00","QUEENS","OUTSIDE","108","0","STREET","(null)","false","25-44","M","BLACK HISPANIC","UNKNOWN","M","UNKNOWN","1013575","208711","40.739494","-73.894176","POINT (-73.894176 40.739494)"
"273635840","2023-08-29T00:00:00.000","16:48:00","BROOKLYN","OUTSIDE","68","0","STREET","(null)","false","18-24","M","WHITE HISPANIC","25-44","M","ASIAN / PACIFIC ISLANDER","979376","168851","40.630132150882496","-74.01755944499043","POINT (-74.01755944499043 40.630132150882496)"
"273577777","2023-08-28T00:00:00.000","16:40:00","MANHATTAN","INSIDE","25","0","COMMERCIAL","GROCERY/BODEGA","false","(null)","(null)","(null)","25-44","M","BLACK","1001692","231503","40.802083","-73.936999","POINT (-73.936999 40.802083)"
"273577777","2023-08-28T00:00:00.000","16:40:00","MANHATTAN","INSIDE","25","0","COMMERCIAL","GROCERY/BODEGA","false","(null)","(null)","(null)","18-24","M","BLACK","1001692","231503","40.802083","-73.936999","POINT (-73.936999 40.802083)"
"273520493","2023-08-27T00:00:00.000","01:20:00","BRONX","OUTSIDE","40","2","HOUSING","MULTI DWELL - PUBLIC HOUS","false","<18","M","BLACK HISPANIC","25-44","M","WHITE HISPANIC","1005674","234940","40.811507","-73.922606","POINT (-73.922606 40.811507)"
"273520494","2023-08-27T00:00:00.000","02:36:00","QUEENS","OUTSIDE","114","2","HOUSING","MULTI DWELL - PUBLIC HOUS","false","(null)","(null)","(null)","25-44","F","BLACK","1001780","216879","40.761942","-73.936717","POINT (-73.936717 40.761942)"
